,User1,User2,User3
0,0,0,1
1,2,2,1
2,0,2,1
3,1,2,1
4,1,2,1
5,0,0,1
6,0,2,1
7,0,1,2
8,0,2,1
9,0,2,1
10,0,2,1
11,0,2,1
12,0,2,1
13,0,2,1
14,0,2,1
15,0,2,1
16,0,2,1
17,0,0,1
18,0,2,1
19,0,2,1
20,0,2,1
21,0,2,1
22,0,2,1
23,0,2,1
24,0,2,1
25,0,2,1
26,0,2,1
27,0,2,1
28,0,2,1
29,0,2,1
30,0,2,1
31,0,2,1
32,0,2,1
33,0,2,1
34,0,2,1
35,0,1,2
36,1,2,1
37,0,2,1
38,0,2,1
39,0,2,1
40,0,2,1
41,0,2,1
42,0,2,1
43,0,2,1
44,0,2,1
45,0,2,1
46,0,2,1
47,0,2,1
48,0,2,1
49,0,2,1
50,0,2,1
51,0,2,1
52,0,2,1
53,0,2,1
54,0,2,1
55,0,2,1
56,0,2,1
57,0,2,1
58,2,2,1
59,2,2,1
60,0,2,1
61,0,2,1
62,0,2,1
63,0,2,1
64,0,2,1
65,0,2,1
66,0,2,1
67,0,2,1
68,0,2,1
69,0,2,1
70,0,2,1
71,0,2,1
72,0,2,1
73,0,2,1
74,0,2,1
75,0,2,1
76,0,2,1
77,0,2,1
78,0,2,1
79,0,2,1
80,0,2,1
81,0,2,1
82,0,2,1
83,0,2,1
84,0,2,1
85,0,2,1
86,1,2,1
87,0,2,1
88,0,2,1
89,0,2,1
90,0,2,1
91,0,2,1
92,0,2,1
93,0,2,1
94,0,2,1
95,0,2,1
96,0,2,1
97,0,2,1
98,0,2,1
99,0,2,1
